PlayerID,Player,Team,Salary,Rk,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards_x,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards_y,Age_Sq,MIN_VAL,PTS_VAL,REB_VAL,AST_VAL,STL_VAL,BLK_VAL,TOV_VAL,SPV,SPV_Offense,SPV_Defense,SPV_per_min,cluster,cluster_per_min
lopezbr01,Brook Lopez,MIL,23000000.0,124.0,36.0,C,80.0,80.0,31.8,4.9,9.7,0.509,1.7,4.7,0.373,3.2,5.0,0.636,0.599,1.4,1.7,0.826,1.4,3.6,5.0,1.8,0.6,1.9,1.1,2.1,13.0,,14.8,0.624,0.482,0.178,5.0,11.8,8.6,7.8,0.9,5.4,9.1,15.8,3.6,2.9,6.6,0.124,0.4,0.4,0.8,1.8,,1296.0,31.8,13.0,5.8500000000000005,4.032000000000001,1.32,4.369999999999999,-2.4200000000000004,57.952,51.252,43.339999999999996,0.8223899371069182,1,1
gordoaa01,Aaron Gordon,DEN,22841455.0,98.0,29.0,PF,51.0,42.0,28.4,5.2,9.7,0.531,1.5,3.4,0.436,3.7,6.4,0.582,0.607,2.8,3.5,0.81,1.6,3.3,4.8,3.2,0.5,0.3,1.4,1.6,14.7,,17.0,0.65,0.346,0.36,6.4,12.1,9.4,15.0,0.8,0.9,11.3,19.0,3.6,0.7,4.3,0.143,2.7,-1.5,1.2,1.2,,841.0,28.4,14.7,5.6160000000000005,7.168000000000001,1.1,0.69,-3.08,54.593999999999994,53.34799999999999,35.806,0.922323943661972,1,1
caldwke01,Kentavious Caldwell-Pope,ORL,22757000.0,239.0,31.0,SG,77.0,77.0,29.6,3.1,7.1,0.439,1.5,4.3,0.342,1.6,2.8,0.589,0.543,1.1,1.2,0.863,0.4,1.8,2.2,1.8,1.3,0.4,0.8,1.8,8.7,,9.9,0.574,0.607,0.175,1.6,7.2,4.3,8.7,2.2,1.4,9.6,12.4,1.5,3.1,4.6,0.096,-3.0,1.6,-1.4,0.3,,961.0,29.6,8.7,2.5740000000000007,4.032000000000001,2.8600000000000003,0.9199999999999999,-1.7600000000000002,46.926,44.092,35.954,0.5853378378378377,2,2
johnsca02,Cameron Johnson,BRK,22500000.0,60.0,28.0,PF,57.0,57.0,31.6,6.2,13.1,0.475,2.8,7.2,0.39,3.4,5.9,0.578,0.582,3.5,3.9,0.893,0.9,3.4,4.3,3.4,0.9,0.4,1.7,1.8,18.8,,18.2,0.632,0.546,0.301,3.3,12.8,7.8,18.5,1.5,1.4,10.5,22.9,3.8,1.3,5.1,0.137,3.5,-0.4,3.1,2.3,,784.0,31.6,18.8,5.031000000000001,7.6160000000000005,1.9800000000000002,0.9199999999999999,-3.74,62.207,61.75600000000001,39.531,0.9685759493670886,1,1
brogdma01,Malcolm Brogdon,WAS,22500000.0,127.0,32.0,PG,24.0,13.0,23.5,4.3,10.0,0.433,0.7,2.3,0.286,3.7,7.7,0.478,0.467,3.4,3.8,0.88,0.9,2.9,3.8,4.1,0.5,0.2,1.6,1.3,12.7,,15.8,0.544,0.233,0.383,3.9,13.0,8.4,27.4,1.1,0.8,11.9,23.7,0.6,0.1,0.7,0.061,-0.1,-1.5,-1.5,0.1,,1024.0,23.5,12.7,4.446000000000001,9.184,1.1,0.45999999999999996,-3.5200000000000005,47.87,48.904,29.506000000000004,1.0370212765957447,2,1
capelca01,Clint Capela,ATL,22265280.0,230.0,30.0,C,55.0,41.0,21.4,4.0,7.1,0.559,0.0,0.0,0.0,4.0,7.1,0.56,0.559,0.9,1.8,0.536,3.2,5.4,8.5,1.1,0.6,1.0,0.9,1.9,8.9,,17.7,0.564,0.003,0.249,15.8,28.2,21.8,7.4,1.4,4.1,9.8,16.7,1.7,1.5,3.2,0.131,-0.6,-0.4,-1.0,0.3,,900.0,21.4,8.9,9.945000000000002,2.4640000000000004,1.32,2.3,-1.9800000000000002,44.349,34.74399999999999,34.964999999999996,1.0723831775700938,2,0
brookdi01,Dillon Brooks,HOU,22255493.0,112.0,29.0,SF,75.0,75.0,31.8,5.1,11.9,0.429,2.5,6.3,0.397,2.6,5.7,0.465,0.533,1.3,1.6,0.818,1.0,2.7,3.7,1.7,0.8,0.2,1.0,3.2,14.0,,11.0,0.555,0.524,0.135,3.3,9.1,6.1,7.4,1.2,0.6,7.4,17.7,2.7,2.5,5.1,0.103,-1.4,0.0,-1.4,0.4,,841.0,31.8,14.0,4.329000000000001,3.8080000000000003,1.7600000000000002,0.45999999999999996,-2.2,53.956999999999994,51.808,38.349000000000004,0.6967610062893083,1,2
huntede01,De'Andre Hunter,CLE,21696429.0,77.0,27.0,SF,37.0,4.0,28.8,6.1,13.3,0.461,2.6,6.7,0.393,3.5,6.6,0.531,0.56,4.1,4.8,0.858,0.7,3.2,3.9,1.5,0.8,0.1,1.6,2.4,19.0,,15.8,0.616,0.502,0.358,2.7,12.5,7.5,7.8,1.4,0.4,9.4,24.2,1.6,0.6,2.2,0.1,0.9,-1.4,-0.4,0.4,,729.0,28.8,19.0,4.563000000000001,3.3600000000000003,1.7600000000000002,0.22999999999999998,-3.5200000000000005,54.19299999999999,54.68,35.352999999999994,0.881701388888889,1,1
balllo01,Lonzo Ball,CHI,21395348.0,272.0,27.0,PG,35.0,14.0,22.2,2.5,6.9,0.366,1.9,5.6,0.344,0.6,1.4,0.458,0.504,0.6,0.8,0.815,0.7,2.7,3.4,3.3,1.3,0.5,1.2,1.6,7.6,,12.2,0.524,0.802,0.111,3.4,12.3,8.0,18.9,2.8,1.9,13.9,15.9,0.3,0.9,1.2,0.075,-1.5,1.7,0.2,0.4,,729.0,22.2,7.6,3.978,7.392,2.8600000000000003,1.15,-2.64,42.54,39.832,30.188,0.9162162162162161,2,1
smartma01,Marcus Smart,WAS,20210284.0,223.0,30.0,PG,19.0,6.0,21.1,2.8,7.8,0.358,1.5,4.7,0.322,1.3,3.1,0.414,0.456,1.6,1.9,0.833,0.7,1.5,2.3,3.7,1.2,0.3,1.8,1.6,8.7,,11.3,0.504,0.608,0.243,3.7,7.6,5.7,22.2,2.7,1.4,17.6,20.0,0.0,0.5,0.4,0.054,-1.7,0.5,-1.2,0.1,,900.0,21.1,8.7,2.6910000000000003,8.288000000000002,2.64,0.69,-3.9600000000000004,40.149,42.048,27.121000000000002,0.9027962085308058,2,1
